temperature,humidity,feed_intake,water_consumption,activity_level,symptoms,disease
41.5,90.6,Low,High,Weak,Sneezing|Ruffled Feathers|Coughing,Avian Influenza
42.3,87.4,Medium,Low,Moderate,Coughing|Nasal Discharge|Swollen Head|Ruffled Feathers,Avian Influenza
42.7,74.4,Low,Low,Weak,Nasal Discharge|Lethargy|Coughing,Newcastle Disease
41.8,54.7,High,High,Active,None,Healthy
41.5,57.5,Low,Low,Weak,Coughing|Watery Eyes|Reduced Feeding|Swollen Head,Avian Influenza
41.7,67.8,Low,Medium,Weak,Reduced Feeding|Reduced Egg Production|Swollen Head,Avian Influenza
41.2,56.3,High,High,Active,None,Healthy
42.2,76.0,Medium,Low,Weak,Swollen Head|Coughing|Nasal Discharge|Ruffled Feathers|Reduced Feeding,Avian Influenza
42.1,67.6,Medium,Low,Weak,Nasal Discharge|Swollen Head|Reduced Feeding|Lethargy|Watery Eyes,Avian Influenza
42.1,71.9,Low,Medium,Weak,Sneezing|Coughing|Difficulty Breathing|Reduced Egg Production|Twisted Neck|Swollen Head|Nasal Discharge,Newcastle Disease
42.4,64.2,Medium,Low,Weak,Difficulty Breathing|Swollen Head|Sneezing|Twisted Neck|Lethargy|Coughing|Reduced Feeding,Newcastle Disease
41.4,61.7,High,High,Active,Sneezing,Healthy
41.6,63.7,High,Medium,Moderate,None,Healthy
41.1,64.0,High,High,Active,None,Healthy
41.0,77.2,Low,Low,Weak,Swollen Head|Nasal Discharge|Reduced Feeding,Avian Influenza
41.3,67.2,High,Medium,Active,None,Healthy
40.9,48.7,High,High,Active,Diarrhea|Sneezing,Healthy
41.3,63.1,High,Medium,Active,Coughing,Healthy
42.5,78.5,Low,High,Moderate,Reduced Feeding|Sneezing|Diarrhea,Newcastle Disease
42.3,83.4,Low,Low,Weak,Difficulty Breathing|Nasal Discharge|Reduced Egg Production|Lethargy,Avian Influenza
41.5,60.7,Medium,High,Moderate,None,Healthy
41.0,72.5,High,Medium,Moderate,None,Healthy
41.9,76.6,Low,Medium,Moderate,Sneezing|Reduced Egg Production|Swollen Head,Avian Influenza
42.0,92.9,Low,Medium,Moderate,Swollen Head|Difficulty Breathing|Twisted Neck|Reduced Egg Production|Sneezing|Lethargy|Reduced Feeding,Newcastle Disease
41.2,59.9,High,High,Active,Reduced Feeding,Healthy
42.3,85.6,Low,Low,Moderate,Coughing|Watery Eyes|Lethargy|Sneezing|Diarrhea|Nasal Discharge|Twisted Neck,Newcastle Disease
41.7,57.7,High,High,Weak,Reduced Feeding,Healthy
41.7,54.3,Medium,High,Active,None,Healthy
42.7,67.8,Low,Low,Weak,Difficulty Breathing|Sneezing|Reduced Feeding|Coughing|Nasal Discharge|Twisted Neck,Newcastle Disease
41.8,84.2,Low,Low,Moderate,Reduced Feeding|Twisted Neck|Watery Eyes|Ruffled Feathers|Reduced Egg Production,Newcastle Disease
43.0,64.4,Medium,Low,Moderate,Reduced Feeding|Watery Eyes|Reduced Egg Production,Avian Influenza
41.8,62.0,High,High,Active,None,Healthy
43.2,87.4,Medium,Low,Moderate,Difficulty Breathing|Reduced Egg Production|Twisted Neck|Ruffled Feathers|Diarrhea,Newcastle Disease
42.1,58.6,Low,Low,Weak,Twisted Neck|Diarrhea|Sneezing|Coughing|Reduced Feeding,Newcastle Disease
41.1,62.6,Medium,High,Active,None,Healthy
43.5,91.6,High,Medium,Weak,Diarrhea|Coughing|Twisted Neck|Swollen Head|Lethargy,Newcastle Disease
41.7,59.4,Low,High,Active,Sneezing,Healthy
41.4,77.4,Low,Low,Weak,Reduced Feeding|Watery Eyes|Swollen Head|Sneezing|Nasal Discharge,Avian Influenza
40.7,46.2,Low,High,Active,Reduced Egg Production,Healthy
42.2,73.0,Low,Low,Moderate,Lethargy|Ruffled Feathers|Twisted Neck|Difficulty Breathing|Nasal Discharge|Reduced Feeding,Newcastle Disease
41.3,67.7,High,High,Moderate,Coughing|Lethargy,Healthy
42.7,77.8,Low,Low,Weak,Watery Eyes|Ruffled Feathers|Nasal Discharge|Lethargy|Reduced Egg Production|Coughing|Difficulty Breathing,Avian Influenza
43.4,86.2,Low,Low,Weak,Ruffled Feathers|Difficulty Breathing|Twisted Neck|Nasal Discharge|Lethargy|Reduced Egg Production,Newcastle Disease
42.3,83.0,Low,Low,Weak,Sneezing|Difficulty Breathing|Coughing|Reduced Egg Production|Lethargy,Newcastle Disease
41.5,56.5,High,High,Active,Reduced Egg Production,Healthy
41.9,77.0,High,High,Weak,Reduced Feeding|Lethargy|Sneezing|Diarrhea,Avian Influenza
41.2,67.9,High,Low,Moderate,Reduced Feeding|Reduced Egg Production,Healthy
42.8,74.5,Low,Medium,Weak,Nasal Discharge|Sneezing|Reduced Egg Production|Twisted Neck|Swollen Head,Avian Influenza
41.0,33.1,Medium,High,Active,None,Healthy
41.1,68.6,Medium,Medium,Active,Difficulty Breathing,Healthy
41.5,59.9,High,Medium,Active,Ruffled Feathers,Healthy
42.2,72.0,Low,Low,Moderate,Difficulty Breathing|Reduced Feeding|Lethargy,Newcastle Disease
42.0,82.1,Low,Low,Moderate,Ruffled Feathers|Lethargy|Difficulty Breathing|Coughing|Diarrhea|Nasal Discharge,Newcastle Disease
41.3,55.0,Medium,High,Active,Sneezing,Healthy
41.5,88.2,Medium,Low,Moderate,Reduced Feeding|Lethargy|Difficulty Breathing|Reduced Egg Production|Nasal Discharge|Swollen Head,Avian Influenza
42.5,92.7,Medium,Low,Weak,Difficulty Breathing|Sneezing|Twisted Neck|Reduced Egg Production|Ruffled Feathers,Newcastle Disease
42.9,86.8,Low,High,Weak,Reduced Feeding|Lethargy|Watery Eyes|Diarrhea|Ruffled Feathers|Sneezing|Coughing,Newcastle Disease
41.8,80.6,Medium,Low,Weak,Watery Eyes|Sneezing|Lethargy|Ruffled Feathers,Newcastle Disease
42.3,78.2,Low,Medium,Weak,Diarrhea|Twisted Neck|Ruffled Feathers|Reduced Egg Production,Newcastle Disease
43.1,68.3,Medium,Medium,Weak,Coughing|Diarrhea|Sneezing|Lethargy,Newcastle Disease
41.4,61.3,High,High,Active,Reduced Egg Production,Healthy
42.3,66.4,Medium,High,Active,None,Healthy
41.5,69.0,Low,Medium,Weak,Lethargy|Reduced Feeding|Watery Eyes|Difficulty Breathing|Nasal Discharge,Avian Influenza
41.7,68.8,Medium,Low,Weak,Difficulty Breathing|Lethargy|Diarrhea|Watery Eyes|Coughing|Reduced Feeding|Swollen Head,Avian Influenza
40.9,50.5,Medium,High,Weak,Lethargy,Healthy
41.5,45.4,Medium,Medium,Active,None,Healthy
42.3,69.7,Low,Low,Active,Twisted Neck|Reduced Egg Production|Coughing|Nasal Discharge|Ruffled Feathers|Sneezing|Lethargy,Newcastle Disease
42.8,78.7,Low,High,Weak,Twisted Neck|Sneezing|Difficulty Breathing|Nasal Discharge,Newcastle Disease
40.8,57.1,High,High,Moderate,None,Healthy
42.0,82.0,Medium,High,Moderate,Reduced Egg Production,Healthy
42.4,84.7,Low,Low,Moderate,Difficulty Breathing|Swollen Head|Lethargy|Reduced Feeding|Watery Eyes,Avian Influenza
42.4,75.9,Low,High,Weak,Coughing|Watery Eyes|Reduced Feeding|Sneezing|Ruffled Feathers,Newcastle Disease
40.8,68.9,Medium,High,Moderate,None,Healthy
41.7,49.7,Medium,High,Weak,None,Healthy
41.4,57.3,Medium,High,Active,None,Healthy
41.7,100.0,Medium,Low,Weak,Twisted Neck|Diarrhea|Watery Eyes|Coughing|Reduced Egg Production|Lethargy|Ruffled Feathers,Newcastle Disease
41.1,65.7,Medium,Medium,Moderate,Twisted Neck,Healthy
41.0,60.9,Medium,High,Active,None,Healthy
41.6,61.4,Low,Low,Weak,Sneezing|Ruffled Feathers|Reduced Egg Production|Twisted Neck|Difficulty Breathing|Coughing|Watery Eyes,Avian Influenza
41.8,55.3,High,High,Moderate,None,Healthy
43.0,88.0,Low,Medium,Weak,Twisted Neck|Ruffled Feathers|Swollen Head|Lethargy,Newcastle Disease
41.2,64.8,Medium,High,Active,None,Healthy
41.0,85.1,Medium,High,Active,None,Healthy
40.9,59.8,High,High,Active,Reduced Feeding,Healthy
42.3,62.6,Medium,Medium,Weak,Sneezing|Reduced Feeding|Nasal Discharge,Avian Influenza
41.0,100.0,Low,Medium,Weak,Difficulty Breathing|Swollen Head|Sneezing|Reduced Egg Production|Nasal Discharge|Coughing|Twisted Neck,Avian Influenza
42.0,77.0,Low,Medium,Weak,Ruffled Feathers|Nasal Discharge|Watery Eyes|Lethargy,Avian Influenza
41.4,58.4,High,Medium,Active,None,Healthy
43.0,63.7,Low,Medium,Moderate,Sneezing|Nasal Discharge|Twisted Neck|Ruffled Feathers|Lethargy,Newcastle Disease
41.3,70.8,High,High,Active,None,Healthy
40.4,48.9,High,Medium,Active,None,Healthy
41.1,79.8,Low,Medium,Weak,Watery Eyes|Sneezing|Nasal Discharge|Lethargy,Avian Influenza
41.2,58.6,High,Medium,Active,None,Healthy
40.9,62.7,Medium,High,Active,Watery Eyes,Healthy
40.7,40.2,Medium,High,Active,None,Healthy
41.5,74.4,High,Medium,Active,None,Healthy
42.1,61.5,Medium,High,Active,None,Healthy
42.6,70.9,Low,Low,Weak,Diarrhea|Twisted Neck|Difficulty Breathing,Newcastle Disease
40.5,69.6,Low,Low,Moderate,Lethargy|Twisted Neck|Nasal Discharge|Difficulty Breathing,Newcastle Disease
42.0,76.6,Low,Low,Weak,Difficulty Breathing|Lethargy|Diarrhea|Watery Eyes|Ruffled Feathers|Coughing|Nasal Discharge,Avian Influenza
42.3,67.9,Low,Low,Weak,Sneezing|Swollen Head|Reduced Feeding|Difficulty Breathing|Nasal Discharge|Lethargy,Avian Influenza
41.4,64.0,Medium,High,Moderate,Lethargy,Healthy
41.5,56.9,High,High,Active,Twisted Neck|Ruffled Feathers,Healthy
41.2,46.7,Medium,Low,Active,None,Healthy
43.6,92.9,Low,Medium,Weak,Nasal Discharge|Lethargy|Reduced Feeding|Reduced Egg Production|Difficulty Breathing,Newcastle Disease
41.3,58.1,Medium,High,Active,None,Healthy
43.3,74.0,Low,Low,Weak,Lethargy|Sneezing|Watery Eyes|Twisted Neck|Reduced Egg Production|Ruffled Feathers,Newcastle Disease
42.1,69.2,Low,Medium,Weak,Coughing|Lethargy|Twisted Neck|Diarrhea|Reduced Egg Production|Swollen Head,Newcastle Disease
42.2,68.1,Medium,Low,Weak,Reduced Egg Production|Sneezing|Difficulty Breathing|Coughing,Newcastle Disease
42.6,61.9,Low,Low,Weak,Difficulty Breathing|Ruffled Feathers|Twisted Neck,Newcastle Disease
40.7,56.4,High,High,Active,Watery Eyes|Lethargy,Healthy
43.5,71.0,Medium,Medium,Moderate,Nasal Discharge|Swollen Head|Coughing|Difficulty Breathing|Sneezing,Avian Influenza
43.2,77.4,High,Low,Weak,Swollen Head|Lethargy|Nasal Discharge,Avian Influenza
41.7,56.3,Low,High,Moderate,Twisted Neck,Healthy
41.4,62.3,Low,Low,Weak,Reduced Feeding|Reduced Egg Production|Sneezing,Avian Influenza
43.1,89.2,Low,Low,Weak,Diarrhea|Difficulty Breathing|Ruffled Feathers|Lethargy,Newcastle Disease
42.4,88.5,Low,High,Weak,Reduced Egg Production|Difficulty Breathing|Reduced Feeding|Sneezing|Ruffled Feathers|Nasal Discharge|Diarrhea,Avian Influenza
41.6,87.2,Medium,Low,Weak,Watery Eyes|Reduced Feeding|Ruffled Feathers|Twisted Neck|Coughing,Avian Influenza
41.6,63.3,High,Low,Moderate,Twisted Neck|Ruffled Feathers|Reduced Feeding|Coughing|Lethargy|Watery Eyes|Nasal Discharge,Newcastle Disease
41.5,60.4,High,Medium,Active,Reduced Feeding,Healthy
40.9,59.1,Medium,High,Active,None,Healthy
42.6,64.4,Low,High,Weak,Twisted Neck|Nasal Discharge|Sneezing|Lethargy,Newcastle Disease
43.0,86.8,High,Low,Moderate,Reduced Feeding|Ruffled Feathers|Difficulty Breathing|Reduced Egg Production|Nasal Discharge|Twisted Neck|Sneezing,Newcastle Disease
41.7,52.9,High,Medium,Active,Diarrhea|Twisted Neck,Healthy
40.8,58.1,Medium,High,Active,None,Healthy
42.3,74.7,Low,Medium,Moderate,Nasal Discharge|Ruffled Feathers|Lethargy|Difficulty Breathing,Avian Influenza
41.6,72.9,Low,Low,Weak,Swollen Head|Difficulty Breathing|Ruffled Feathers,Avian Influenza
42.8,46.3,Low,Low,Weak,Coughing|Diarrhea|Reduced Feeding|Difficulty Breathing|Ruffled Feathers|Twisted Neck|Lethargy,Newcastle Disease
41.2,53.6,High,High,Active,None,Healthy
40.9,51.4,Medium,Medium,Active,None,Healthy
40.9,72.2,Medium,High,Active,None,Healthy
41.8,85.1,Low,Low,Weak,Diarrhea|Difficulty Breathing|Nasal Discharge|Reduced Feeding,Avian Influenza
41.0,49.0,High,High,Active,Difficulty Breathing,Healthy
41.9,100.0,Low,Low,Weak,Ruffled Feathers|Twisted Neck|Swollen Head|Coughing|Sneezing|Reduced Egg Production|Nasal Discharge,Newcastle Disease
41.7,65.1,Medium,High,Active,None,Healthy
42.1,81.4,Low,Low,Weak,Coughing|Diarrhea|Nasal Discharge|Reduced Egg Production|Lethargy|Sneezing|Reduced Feeding,Newcastle Disease
44.0,73.3,Low,High,Weak,Lethargy|Difficulty Breathing|Sneezing,Newcastle Disease
42.9,61.5,Medium,Low,Weak,Watery Eyes|Swollen Head|Reduced Egg Production|Coughing,Avian Influenza
40.8,70.3,High,High,Active,Diarrhea,Healthy
41.1,58.2,High,High,Moderate,None,Healthy
41.6,58.1,High,Medium,Active,Diarrhea|Twisted Neck,Healthy
41.1,70.9,Medium,Medium,Weak,Lethargy|Swollen Head|Coughing|Difficulty Breathing,Avian Influenza
42.4,90.1,Low,Low,Weak,Sneezing|Watery Eyes|Lethargy,Avian Influenza
43.3,68.3,Low,Low,Weak,Nasal Discharge|Swollen Head|Reduced Egg Production|Diarrhea|Difficulty Breathing,Newcastle Disease
42.1,81.9,Low,Low,Moderate,Diarrhea|Sneezing|Reduced Egg Production|Coughing|Nasal Discharge|Twisted Neck|Ruffled Feathers,Newcastle Disease
42.0,58.1,Low,Low,Weak,Coughing|Difficulty Breathing|Watery Eyes|Twisted Neck,Newcastle Disease
40.8,74.4,High,Low,Active,None,Healthy
41.6,88.1,Low,Medium,Weak,Nasal Discharge|Lethargy|Swollen Head|Coughing|Ruffled Feathers|Watery Eyes,Avian Influenza
42.5,67.4,Low,Medium,Weak,Difficulty Breathing|Diarrhea|Lethargy|Coughing|Reduced Feeding,Newcastle Disease
40.7,68.8,Medium,Low,Active,None,Healthy
41.7,84.2,Medium,Medium,Weak,Nasal Discharge|Lethargy|Ruffled Feathers|Difficulty Breathing|Sneezing|Swollen Head,Newcastle Disease
41.9,72.8,High,High,Moderate,None,Healthy
41.0,48.2,Medium,Low,Moderate,None,Healthy
41.4,77.7,Low,Medium,Weak,Nasal Discharge|Sneezing|Difficulty Breathing|Ruffled Feathers|Lethargy|Coughing|Reduced Feeding,Avian Influenza
41.5,60.3,Low,Low,Active,Reduced Feeding,Healthy
43.2,59.5,Low,Medium,Weak,Reduced Feeding|Twisted Neck|Coughing|Lethargy|Reduced Egg Production|Difficulty Breathing|Nasal Discharge,Newcastle Disease
41.3,69.0,High,High,Moderate,Diarrhea|Ruffled Feathers,Healthy
41.1,58.9,Medium,Medium,Active,None,Healthy
41.1,60.6,Medium,High,Weak,None,Healthy
41.9,63.5,High,High,Active,None,Healthy
41.4,85.8,High,Low,Weak,Reduced Feeding|Nasal Discharge|Lethargy,Avian Influenza
41.3,67.9,High,Medium,Moderate,Ruffled Feathers,Healthy
41.8,70.3,Low,Medium,Weak,Reduced Egg Production|Coughing|Sneezing|Lethargy,Newcastle Disease
42.6,66.0,Medium,Low,Weak,Swollen Head|Ruffled Feathers|Lethargy|Twisted Neck,Newcastle Disease
42.5,56.8,Low,Low,Weak,Twisted Neck|Ruffled Feathers|Sneezing|Diarrhea|Coughing|Swollen Head,Newcastle Disease
42.7,92.4,Low,Low,Weak,Reduced Egg Production|Difficulty Breathing|Nasal Discharge,Avian Influenza
41.1,67.2,Low,Low,Weak,Swollen Head|Reduced Feeding|Watery Eyes|Coughing|Reduced Egg Production|Difficulty Breathing,Avian Influenza
41.2,61.1,High,Medium,Moderate,None,Healthy
41.7,59.2,Medium,Medium,Active,Coughing,Healthy
40.8,61.6,Medium,Medium,Active,Sneezing,Healthy
42.2,71.2,Low,Medium,Weak,Watery Eyes|Coughing|Twisted Neck|Reduced Feeding,Newcastle Disease
40.5,68.4,High,High,Weak,None,Healthy
42.6,81.4,Low,High,Weak,Diarrhea|Sneezing|Twisted Neck|Ruffled Feathers,Newcastle Disease
42.1,73.0,Low,Medium,Weak,Difficulty Breathing|Coughing|Sneezing|Reduced Feeding|Diarrhea,Newcastle Disease
41.4,45.6,High,High,Active,None,Healthy
42.2,70.5,Low,Low,Weak,Nasal Discharge|Watery Eyes|Swollen Head|Reduced Egg Production,Avian Influenza
41.2,66.5,Medium,High,Weak,Diarrhea,Healthy
41.1,51.7,High,High,Active,None,Healthy
41.1,66.6,Medium,Low,Weak,Diarrhea|Swollen Head|Lethargy|Nasal Discharge,Avian Influenza
42.1,88.3,Low,Low,Weak,Ruffled Feathers|Twisted Neck|Sneezing|Coughing|Reduced Feeding|Difficulty Breathing,Newcastle Disease
42.6,82.4,Medium,Low,Weak,Lethargy|Nasal Discharge|Difficulty Breathing|Reduced Egg Production|Sneezing,Newcastle Disease
41.6,74.6,Medium,High,Weak,Sneezing|Reduced Feeding|Ruffled Feathers,Newcastle Disease
41.5,52.2,Medium,High,Active,None,Healthy
41.5,100.0,Low,Medium,Weak,Nasal Discharge|Lethargy|Coughing|Sneezing|Swollen Head,Avian Influenza
41.5,65.1,Low,Low,Moderate,Swollen Head|Coughing|Difficulty Breathing|Sneezing|Nasal Discharge|Watery Eyes|Lethargy,Avian Influenza
43.0,81.4,Low,Low,Weak,Reduced Feeding|Ruffled Feathers|Difficulty Breathing,Newcastle Disease
41.2,52.4,High,High,Moderate,None,Healthy
42.6,83.8,Low,Medium,Weak,Coughing|Nasal Discharge|Ruffled Feathers|Twisted Neck,Newcastle Disease
41.0,60.2,High,Medium,Moderate,Reduced Egg Production,Healthy
41.1,51.0,High,High,Moderate,None,Healthy
42.8,52.8,Medium,Low,Weak,Nasal Discharge|Difficulty Breathing|Watery Eyes|Coughing|Swollen Head,Avian Influenza
40.7,48.2,Medium,High,Moderate,Reduced Feeding,Healthy
41.7,99.4,Low,Medium,Moderate,Nasal Discharge|Difficulty Breathing|Reduced Egg Production|Reduced Feeding,Avian Influenza
42.1,72.5,Low,Low,Moderate,Reduced Feeding|Twisted Neck|Sneezing|Watery Eyes,Newcastle Disease
41.4,56.6,High,High,Active,Ruffled Feathers|Diarrhea,Healthy
43.1,72.1,Medium,Medium,Moderate,Reduced Feeding|Sneezing|Twisted Neck|Reduced Egg Production|Difficulty Breathing|Ruffled Feathers,Newcastle Disease
42.6,58.8,Low,Low,Weak,Difficulty Breathing|Nasal Discharge|Swollen Head|Coughing,Avian Influenza
41.7,78.1,High,Medium,Weak,Ruffled Feathers|Diarrhea|Difficulty Breathing,Avian Influenza
41.5,72.6,Low,Low,Weak,Watery Eyes|Difficulty Breathing|Diarrhea|Swollen Head|Sneezing,Avian Influenza
43.3,44.4,Low,Low,Weak,Reduced Egg Production|Nasal Discharge|Difficulty Breathing|Reduced Feeding|Coughing,Newcastle Disease
42.4,70.1,Low,Low,Weak,Watery Eyes|Sneezing|Lethargy|Coughing|Ruffled Feathers|Reduced Egg Production|Nasal Discharge,Newcastle Disease
42.3,42.5,Medium,Low,Weak,Coughing|Watery Eyes|Nasal Discharge,Avian Influenza
40.8,53.5,High,High,Moderate,None,Healthy
43.2,76.4,Medium,Low,Weak,Difficulty Breathing|Reduced Egg Production|Nasal Discharge|Sneezing|Coughing|Lethargy|Twisted Neck,Newcastle Disease
41.0,48.4,Medium,Low,Weak,Difficulty Breathing,Healthy
42.3,60.8,Low,Low,Moderate,Twisted Neck|Difficulty Breathing|Coughing|Reduced Egg Production,Avian Influenza
41.6,95.1,Medium,Low,Weak,Ruffled Feathers|Watery Eyes|Lethargy|Reduced Egg Production,Avian Influenza
41.0,52.8,Medium,High,Moderate,None,Healthy
42.0,61.9,Low,Low,Weak,Swollen Head|Reduced Egg Production|Ruffled Feathers|Nasal Discharge,Avian Influenza
41.9,74.1,High,Low,Weak,Sneezing|Coughing|Swollen Head,Avian Influenza
40.2,56.9,Medium,High,Weak,Reduced Egg Production,Healthy
42.1,93.0,Low,Low,Weak,Reduced Feeding|Sneezing|Reduced Egg Production|Twisted Neck,Newcastle Disease
40.9,73.5,Low,Low,Moderate,Lethargy|Swollen Head|Reduced Egg Production|Watery Eyes|Diarrhea|Coughing|Reduced Feeding,Avian Influenza
41.3,57.3,High,High,Moderate,Ruffled Feathers,Healthy
42.7,72.1,Low,High,Weak,Reduced Egg Production|Nasal Discharge|Coughing,Newcastle Disease
40.8,50.1,Medium,High,Weak,None,Healthy
42.2,69.7,Low,Medium,Active,Lethargy|Difficulty Breathing|Sneezing|Reduced Feeding,Avian Influenza
41.9,83.6,Low,Low,Weak,Lethargy|Reduced Feeding|Nasal Discharge|Coughing|Swollen Head|Twisted Neck|Watery Eyes,Avian Influenza
41.6,84.1,Low,Medium,Weak,Nasal Discharge|Swollen Head|Reduced Feeding|Ruffled Feathers,Avian Influenza
43.2,87.3,Low,Low,Weak,Reduced Egg Production|Lethargy|Coughing|Nasal Discharge|Sneezing|Ruffled Feathers|Twisted Neck,Newcastle Disease
40.6,77.9,Medium,Low,Weak,Lethargy|Watery Eyes|Difficulty Breathing|Reduced Egg Production|Swollen Head,Avian Influenza
41.7,80.2,Low,Medium,Weak,Reduced Egg Production|Lethargy|Nasal Discharge|Swollen Head|Difficulty Breathing,Avian Influenza
40.7,51.1,Medium,High,Moderate,None,Healthy
41.4,73.6,Low,Medium,Moderate,Reduced Egg Production|Difficulty Breathing|Reduced Feeding|Lethargy|Watery Eyes,Avian Influenza
41.0,59.6,Medium,High,Moderate,Diarrhea,Healthy
42.5,86.3,Low,Low,Weak,Coughing|Reduced Egg Production|Ruffled Feathers,Newcastle Disease
41.3,59.2,Low,High,Active,Twisted Neck,Healthy
41.1,62.9,High,High,Weak,Reduced Feeding|Coughing,Healthy
41.5,58.2,Medium,Medium,Weak,Lethargy,Healthy
42.7,100.0,Medium,Low,Weak,Reduced Feeding|Diarrhea|Lethargy|Twisted Neck,Newcastle Disease
41.1,76.5,High,High,Active,None,Healthy
42.1,84.9,Low,Medium,Weak,Twisted Neck|Coughing|Reduced Egg Production|Nasal Discharge,Avian Influenza
41.0,52.4,Medium,High,Moderate,Reduced Egg Production,Healthy
41.3,54.2,Medium,High,Moderate,None,Healthy
42.3,96.1,Medium,High,Weak,Sneezing|Reduced Egg Production|Difficulty Breathing|Coughing|Watery Eyes|Diarrhea,Newcastle Disease
41.5,83.4,Low,Medium,Weak,Sneezing|Ruffled Feathers|Lethargy|Swollen Head|Difficulty Breathing|Diarrhea,Avian Influenza
41.1,71.6,High,High,Active,Ruffled Feathers,Healthy
43.0,89.1,Low,Medium,Active,Nasal Discharge|Reduced Egg Production|Reduced Feeding|Sneezing|Coughing|Twisted Neck|Watery Eyes,Newcastle Disease
42.0,85.8,Medium,Low,Moderate,Nasal Discharge|Sneezing|Difficulty Breathing|Reduced Feeding,Avian Influenza
42.4,78.2,Medium,Low,Weak,Difficulty Breathing|Reduced Egg Production|Coughing|Sneezing|Lethargy|Nasal Discharge,Newcastle Disease
40.7,56.4,Medium,High,Active,Lethargy,Healthy
40.8,58.1,High,Medium,Moderate,None,Healthy
41.7,66.5,Low,Low,Weak,Twisted Neck|Swollen Head|Reduced Feeding,Avian Influenza
41.9,62.6,High,Medium,Active,Difficulty Breathing,Healthy
40.7,54.4,Low,Low,Weak,Nasal Discharge|Watery Eyes|Sneezing|Reduced Egg Production|Lethargy|Reduced Feeding,Avian Influenza
42.7,71.3,Medium,Low,Moderate,Reduced Egg Production|Swollen Head|Coughing|Reduced Feeding|Diarrhea|Twisted Neck|Sneezing,Newcastle Disease
41.3,65.0,Low,Low,Weak,Watery Eyes|Reduced Feeding|Diarrhea,Avian Influenza
41.6,68.1,High,Low,Weak,Sneezing|Reduced Feeding|Difficulty Breathing|Watery Eyes|Lethargy,Avian Influenza
40.3,72.6,Low,Low,Weak,Reduced Egg Production|Sneezing|Difficulty Breathing,Avian Influenza
41.0,61.2,Medium,Medium,Active,None,Healthy
41.2,63.5,Low,High,Moderate,Nasal Discharge|Reduced Egg Production|Ruffled Feathers,Avian Influenza
42.7,72.7,Medium,Low,Weak,Twisted Neck|Watery Eyes|Lethargy|Diarrhea|Difficulty Breathing,Newcastle Disease
42.5,100.0,Medium,Medium,Weak,Coughing|Reduced Egg Production|Lethargy|Swollen Head,Newcastle Disease
43.3,65.7,Low,High,Weak,Sneezing|Twisted Neck|Reduced Feeding|Swollen Head,Newcastle Disease
42.3,93.3,High,Low,Moderate,Nasal Discharge|Lethargy|Sneezing,Avian Influenza
41.3,69.0,Low,Low,Weak,Nasal Discharge|Swollen Head|Difficulty Breathing|Watery Eyes|Ruffled Feathers,Avian Influenza
41.6,99.5,Low,Low,Weak,Coughing|Lethargy|Reduced Feeding|Difficulty Breathing|Swollen Head|Watery Eyes|Ruffled Feathers,Avian Influenza
43.1,100.0,Medium,Medium,Moderate,Reduced Egg Production|Twisted Neck|Difficulty Breathing|Watery Eyes,Newcastle Disease
42.4,70.9,Low,Low,Weak,Swollen Head|Diarrhea|Coughing,Newcastle Disease
41.4,60.7,Low,Low,Weak,Sneezing|Reduced Egg Production|Swollen Head|Reduced Feeding,Avian Influenza
41.4,55.8,High,High,Active,None,Healthy
41.2,51.5,High,High,Active,Coughing,Healthy
41.0,57.7,High,Medium,Moderate,None,Healthy
41.7,67.9,Low,High,Active,None,Healthy
41.3,63.1,Medium,High,Active,None,Healthy
40.6,63.2,High,Medium,Active,None,Healthy
41.3,57.5,Medium,Low,Active,None,Healthy
41.1,63.8,High,High,Active,Diarrhea|Reduced Feeding,Healthy
41.9,78.4,Medium,Low,Weak,Watery Eyes|Coughing|Reduced Feeding|Swollen Head|Difficulty Breathing,Avian Influenza
42.5,80.6,High,High,Weak,Coughing|Ruffled Feathers|Sneezing|Lethargy|Twisted Neck|Difficulty Breathing,Newcastle Disease
41.3,57.2,High,High,Moderate,Reduced Egg Production,Healthy
41.6,65.1,Medium,Medium,Weak,Nasal Discharge|Diarrhea|Lethargy,Newcastle Disease
41.2,59.2,High,High,Active,None,Healthy
41.9,100.0,Medium,High,Weak,Watery Eyes|Reduced Feeding|Difficulty Breathing|Nasal Discharge|Reduced Egg Production|Ruffled Feathers|Sneezing,Avian Influenza
42.0,73.3,Low,Medium,Active,Sneezing|Ruffled Feathers|Reduced Feeding,Avian Influenza
41.3,53.2,Medium,High,Active,None,Healthy
42.5,70.7,High,Medium,Moderate,Twisted Neck|Diarrhea|Difficulty Breathing|Lethargy|Coughing|Reduced Egg Production|Ruffled Feathers,Newcastle Disease
41.8,67.9,Medium,Medium,Active,Swollen Head|Watery Eyes|Sneezing,Avian Influenza
41.6,95.1,Medium,Medium,Weak,Diarrhea|Difficulty Breathing|Coughing|Sneezing|Ruffled Feathers|Reduced Egg Production,Avian Influenza
43.6,76.3,Low,Low,Weak,Reduced Egg Production|Sneezing|Swollen Head|Diarrhea|Twisted Neck|Ruffled Feathers,Newcastle Disease
42.7,100.0,Low,Low,Weak,Nasal Discharge|Lethargy|Diarrhea,Newcastle Disease
40.6,72.5,Low,High,Weak,Reduced Feeding,Healthy
